t,x,dxdt,method
13.0,6.70476,dx/dt = sin(t) + t*cos(t),minpoint
14.0,15.53997,dx/dt = sin(t) + t*cos(t),minpoint
15.0,11.32847,dx/dt = sin(t) + t*cos(t),minpoint
16.0,-3.63110,dx/dt = sin(t) + t*cos(t),minpoint
17.0,-15.93243,dx/dt = sin(t) + t*cos(t),minpoint
18.0,-13.06786,dx/dt = sin(t) + t*cos(t),minpoint
19.0,3.97087,dx/dt = sin(t) + t*cos(t),minpoint
20.0,20.09480,dx/dt = sin(t) + t*cos(t),minpoint
0.0,1.00000,dx/dt = sin(t) + t*cos(t),rk4
1.0,1.84244,dx/dt = sin(t) + t*cos(t),rk4
2.0,2.82130,dx/dt = sin(t) + t*cos(t),rk4
3.0,1.42640,dx/dt = sin(t) + t*cos(t),rk4
4.0,-2.02589,dx/dt = sin(t) + t*cos(t),rk4
5.0,-3.79530,dx/dt = sin(t) + t*cos(t),rk4
6.0,-0.67704,dx/dt = sin(t) + t*cos(t),rk4
7.0,5.60091,dx/dt = sin(t) + t*cos(t),rk4
8.0,8.91936,dx/dt = sin(t) + t*cos(t),rk4
9.0,4.71317,dx/dt = sin(t) + t*cos(t),rk4
10.0,-4.43949,dx/dt = sin(t) + t*cos(t),rk4
11.0,-10.00238,dx/dt = sin(t) + t*cos(t),rk4
12.0,-5.44095,dx/dt = sin(t) + t*cos(t),rk4
13.0,6.46426,dx/dt = sin(t) + t*cos(t),rk4
14.0,14.87472,dx/dt = sin(t) + t*cos(t),rk4
15.0,10.76036,dx/dt = sin(t) + t*cos(t),rk4
16.0,-3.60526,dx/dt = sin(t) + t*cos(t),rk4
17.0,-15.34775,dx/dt = sin(t) + t*cos(t),rk4
18.0,-12.52211,dx/dt = sin(t) + t*cos(t),rk4
19.0,3.84870,dx/dt = sin(t) + t*cos(t),rk4
20.0,19.26630,dx/dt = sin(t) + t*cos(t),rk4
0.0,1.00000,dx/dt = sin(t) + t*cos(t),heun
1.0,1.69089,dx/dt = sin(t) + t*cos(t),heun
2.0,2.42028,dx/dt = sin(t) + t*cos(t),heun
3.0,1.04435,dx/dt = sin(t) + t*cos(t),heun
4.0,-2.05577,dx/dt = sin(t) + t*cos(t),heun
5.0,-3.51176,dx/dt = sin(t) + t*cos(t),heun
6.0,-0.54127,dx/dt = sin(t) + t*cos(t),heun
7.0,5.16669,dx/dt = sin(t) + t*cos(t),heun
8.0,8.04652,dx/dt = sin(t) + t*cos(t),heun
9.0,4.06517,dx/dt = sin(t) + t*cos(t),heun
10.0,-4.29623,dx/dt = sin(t) + t*cos(t),heun
11.0,-9.23925,dx/dt = sin(t) + t*cos(t),heun
12.0,-4.92006,dx/dt = sin(t) + t*cos(t),heun
13.0,5.98326,dx/dt = sin(t) + t*cos(t),heun
14.0,13.54421,dx/dt = sin(t) + t*cos(t),heun
15.0,9.62416,dx/dt = sin(t) + t*cos(t),heun
16.0,-3.55358,dx/dt = sin(t) + t*cos(t),heun
17.0,-14.17840,dx/dt = sin(t) + t*cos(t),heun
18.0,-11.43063,dx/dt = sin(t) + t*cos(t),heun
19.0,3.60436,dx/dt = sin(t) + t*cos(t),heun
20.0,17.60929,dx/dt = sin(t) + t*cos(t),heun
